Email Text,Label
"Subject: Payment failed — update billing info

Hello,

Your recent payment failed. Update your billing information to avoid service interruption: http://example.com/billing

Billing Team",1
"Subject: Verify your device to continue

Hi,

We need to verify your device before you can sign in: http://example.com/device-verify

Support",1
"Subject: Release: Security Patch Notes

Dear User,

A security patch was released for the platform. No action is needed from your side.

Product Security",0
"Subject: Action needed: Confirm new beneficiary

Hi,

A beneficiary was added to your account. Confirm if authorized: http://example.com/confirm-beneficiary

Finance",1
"Subject: Confirmation: Account Linked Successfully

Hello,

Your account has been linked with the external service successfully.

Support",0
"Subject: Free gift card for you — verify details

Hi,

We have a free gift card waiting. Verify your eligibility: http://example.com/gift

Offers Team",1
"Subject: Your subscription will renew — verify payment

Hi,

Your subscription is about to renew. Confirm payment details: http://example.com/confirm-renewal

Subscriptions",1
"Subject: Alert: Unauthorized payment method added

Hello,

A new payment method was added to your account. If this wasn't you, review here: http://example.com/payment-methods

Security Team",1
"Subject: Confirmation: Hotel Reservation

Dear Guest,

Your hotel reservation is confirmed. We look forward to welcoming you.

Reservations",0
"Subject: Welcome — Your Account is Active

Hi,

Your account is now active. You can log in and start using the service.

Onboarding Team",0
"Subject: Course Enrollment Confirmation

Hi,

You're now enrolled in the online course. Access details have been sent to your student portal.

Education Team",0
"Subject: Invitation: Networking Breakfast

Dear Colleague,

Join us for a networking breakfast next Wednesday. RSVP to reserve your seat.

Community Team",0
"Subject: Confirm your donor account details

Hi,

Please confirm your donor details to continue supporting causes: http://example.com/donor

Donations",1
"Subject: Monthly Usage Summary

Dear Customer,

Here is your monthly usage summary with helpful tips to optimize your plan.

Support Team",0
"Subject: Update required: Terms of service change

Hi,

Please review and accept the updated terms of service: http://example.com/terms

Legal",1
"Subject: Important: Update your account settings

Hello,

We updated our terms. Review and accept the new settings: http://example.com/settings

Support",1
"Subject: Alert: Suspicious device connected

Hi,

A new device connected to your account. Review and remove if unknown: http://example.com/devices

Security Team",1
"Subject: Your Reservation Reminder

Dear Guest,

This is a reminder for your reservation tomorrow evening. Please contact us for any changes.

Reservations",0
